TEACHER_ID,GLOBAL_ID,FIRST_NAME,LAST_NAME,FULL_NAME,EMAIL,NATIONALITY,CERTIFICATION_LEVEL,SPECIALIZATION,YEARS_EXPERIENCE,STATUS,HIRE_DATE,CREATED_DATE,LAST_MODIFIED
T001,fe656607-afc0-4406-9ffd-1270ef4175df,Sarah,Mitchell,Sarah Mitchell,sarah.mitchell1@6degrees.demo,Canadian,Master's in Subject Area,Physics,15,Active,2011-08-01,2026-06-07,2026-06-07
T002,a9356939-8a1f-4db2-95aa-875ac198ec45,James,Thompson,James Thompson,james.thompson2@6degrees.demo,British,Master's in Subject Area,Mathematics,9,Active,2017-08-01,2026-06-07,2026-06-07
T003,6f5188c7-6475-4fee-9558-cc84788a20bf,Emily,Davies,Emily Davies,emily.davies3@6degrees.demo,Australian,Master's in Subject Area,Biology,8,Active,2010-08-01,2026-06-07,2026-06-07
T004,6b790305-f75d-4e8b-a0ed-cd2dd5210c9d,Michael,Patel,Michael Patel,michael.patel4@6degrees.demo,Indian,Master's in Education,Chemistry,10,Active,2016-08-01,2026-06-07,2026-06-07
T005,3af9c254-d4d8-4e34-bbfb-345c757d33f0,Olivia,Greene,Olivia Greene,olivia.greene5@6degrees.demo,Irish,Doctorate (EdD/PhD),English,8,Active,2011-08-01,2026-06-07,2026-06-07
T006,a4ea4a59-a88f-41d4-9af7-7d52bde56892,David,Hassan,David Hassan,david.hassan6@6degrees.demo,Egyptian,Master's in Education,Economics,10,Active,2016-08-01,2026-06-07,2026-06-07
T007,2a2b035b-3537-43c7-8b10-371865ab9a0c,Hannah,Eriksson,Hannah Eriksson,hannah.eriksson7@6degrees.demo,Swedish,PGCE,History,7,Active,2009-08-01,2026-06-07,2026-06-07
T008,719ec0e8-6b13-4a03-90a8-b170863ae7bb,Grace,Okafor,Grace Okafor,grace.okafor8@6degrees.demo,British,Master's in Education,Visual Arts,10,Active,2016-08-01,2026-06-07,2026-06-07
T009,78823b46-d4fe-4d3d-ad1f-365de49cfc17,Carlos,Fernandez,Carlos Fernandez,carlos.fernandez9@6degrees.demo,American,PGCE,Spanish,9,Active,2017-08-01,2026-06-07,2026-06-07
T010,310bf04b-3cf6-4f95-8864-05a762038076,Imani,Mbeki,Imani Mbeki,imani.mbeki10@6degrees.demo,Kenyan,Master's in Education,Geography,9,Active,2017-08-01,2026-06-07,2026-06-07
